Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,MID_VA
17-January-2025,2229.65,2269.00,2214.00,2259.70,2248.482156169100000000,73779,6766,165890765.00,34560,46.84,55.00,30.05,385.73
16-January-2025,2254.00,2254.00,2208.90,2216.40,2218.852308842770000000,37443,3310,83080487.00,20443,54.60,45.10,-37.60,345.95
15-January-2025,2269.95,2269.95,2219.55,2228.60,2229.017999686960000000,38334,3165,85447176.00,23383,61.00,50.40,-41.35,306.23
14-January-2025,2253.05,2286.75,2237.05,2239.75,2257.357557002590000000,145739,12923,328985033.00,77442,53.14,49.70,-13.30,286.91
13-January-2025,2303.70,2303.70,2247.05,2252.75,2274.013586066920000000,122184,8413,277848076.00,80975,66.27,56.65,-50.95,267.60
10-January-2025,2349.80,2349.80,2315.75,2319.70,2327.499072907920000000,57168,7010,133058467.00,30845,53.96,34.05,-30.10,247.45
9-January-2025,2335.10,2361.00,2322.20,2350.60,2345.494344142310000000,180344,12470,422995832.00,121895,67.59,38.80,15.50,367.80
8-January-2025,2289.95,2337.45,2272.75,2334.40,2305.358864066640000000,66025,7292,152211319.00,30549,46.27,64.70,44.45,210.93
7-January-2025,2270.00,2315.95,2270.00,2293.10,2296.019128533810000000,80508,8305,184847908.00,27849,34.59,45.95,23.10,189.33
6-January-2025,2334.25,2338.00,2257.00,2268.15,2288.850778195770000000,54228,4891,124119800.00,38582,71.15,81.00,-66.10,171.65
3-January-2025,2362.70,2362.70,2322.95,2334.25,2337.547610938380000000,91019,8856,212761246.00,21426,23.54,39.75,-28.45,152.90
2-January-2025,2318.70,2347.85,2294.60,2343.00,2324.414939242320000000,106324,9754,247141094.00,51697,48.62,53.25,24.30,134.60
1-January-2025,2294.95,2322.85,2282.10,2304.75,2308.554064358700000000,52456,6007,121097512.00,18755,35.75,40.75,9.80,116.30
31-December-2024,2286.30,2295.90,2273.95,2282.05,2285.611200536550000000,74550,3749,170392315.00,54887,73.62,21.95,-4.25,97.73
30-December-2024,2299.60,2299.60,2256.90,2286.45,2275.443484207910000000,32168,3206,73196466.00,15108,46.97,42.70,-13.15,81.63
27-December-2024,2274.75,2290.10,2261.60,2270.90,2272.672171488990000000,52015,5375,118213043.00,22147,42.58,28.50,-3.85,67.50
26-December-2024,2289.90,2289.90,2257.00,2261.40,2267.876325721380000000,83728,10151,189884749.00,35737,42.68,32.90,-28.50,53.25
24-December-2024,2283.50,2295.00,2277.90,2284.15,2286.793796739000000000,65256,2995,149227016.00,47653,73.02,17.10,0.65,40.43
23-December-2024,2300.00,2302.45,2266.80,2279.00,2283.785837858780000000,149709,12276,341903294.00,108170,72.25,35.65,-21.00,28.88
20-December-2024,2298.00,2317.50,2276.50,2283.05,2294.839550209260000000,174659,15644,400814381.00,61451,35.18,41.00,-14.95,21.15
19-December-2024,2320.05,2324.00,2266.00,2292.90,2286.116703787680000000,299022,32245,683599189.00,178745,59.78,58.00,-27.15,15.55
18-December-2024,2359.00,2372.75,2341.15,2345.70,2359.229968264500000000,96422,9859,227481672.00,52474,54.42,31.60,-13.30,11.53
17-December-2024,2399.95,2399.95,2350.45,2356.80,2370.434240019920000000,112424,15649,266493699.00,69960,62.23,49.50,-43.15,8.10
16-December-2024,2420.00,2420.00,2387.05,2403.35,2399.051693331420000000,48691,4364,116812226.00,30062,61.74,32.95,-16.65,5.70
13-December-2024,2396.00,2410.45,2354.75,2407.05,2395.921204527690000000,93381,8689,223733518.00,33258,35.62,55.70,11.05,4.025
12-December-2024,2417.00,2417.00,2381.50,2388.95,2396.194294223040000000,122227,13254,292879640.00,88672,72.55,35.50,-28.05,2.85
11-December-2024,2407.60,2427.80,2390.45,2417.65,2414.414566761790000000,98814,9567,238577961.00,45098,45.64,37.35,10.05,2.10
10-December-2024,2396.80,2404.30,2385.10,2389.80,2392.151403656640000000,61696,4128,147586173.00,45763,74.17,19.20,-7.00,1.55
9-December-2024,2443.95,2443.95,2370.00,2385.80,2398.641945117840000000,188513,16157,452175189.00,141267,74.94,73.95,-58.15,1.20
6-December-2024,2476.80,2476.80,2426.45,2429.60,2436.106315733090000000,168009,18854,409287786.00,100131,59.60,50.35,-47.20,1.05
5-December-2024,2462.35,2466.90,2424.00,2452.30,2437.597395247210000000,151953,16464,370400237.00,78202,51.46,42.90,-10.05,0.8
4-December-2024,2483.95,2483.95,2454.05,2459.60,2466.963172200610000000,18763,2442,46287630.00,10878,57.98,29.90,-24.35,0.775
3-December-2024,2495.00,2495.00,2463.65,2469.00,2471.404859953590000000,61194,8985,151235149.00,38476,62.88,31.35,-26.00,0.75
2-December-2024,2475.05,2485.95,2461.00,2479.25,2474.905759281110000000,44068,6055,109064147.00,23577,53.50,24.95,4.20,0.60
29-November-2024,2472.50,2491.00,2455.00,2479.95,2477.917450582240000000,72393,7566,179383878.00,25759,35.58,36.00,7.45,
28-November-2024,2524.75,2524.75,2454.85,2458.85,2471.990178784270000000,20975,3086,51849994.00,12281,58.55,69.90,-65.90,
27-November-2024,2518.00,2518.00,2480.05,2490.25,2491.668567807350000000,20514,2538,51114089.00,9543,46.52,37.95,-27.75,
26-November-2024,2474.75,2517.90,2459.15,2504.70,2501.015998917160000000,73880,7290,184775062.00,36428,49.31,58.75,29.95,
25-November-2024,2509.95,2509.95,2451.00,2460.60,2480.357600311860000000,71826,9407,178154165.00,36180,50.37,58.95,-49.35,
22-November-2024,2427.15,2494.40,2422.00,2479.00,2471.128328432050000000,137039,13305,338640955.00,36413,26.57,72.40,51.85,
21-November-2024,2470.00,2470.00,2426.05,2429.20,2441.073549865010000000,36669,4989,89511726.00,17394,47.44,43.95,-40.80,
19-November-2024,2490.00,2502.00,2471.35,2483.20,2487.764043963710000000,22928,2555,57039454.00,8840,38.56,30.65,-6.80,
18-November-2024,2529.25,2529.25,2470.75,2483.00,2494.284601801960000000,44174,4232,110182528.00,20056,45.40,58.50,-46.25,
14-November-2024,2480.05,2502.40,2466.85,2483.15,2481.334146660790000000,84017,12381,208474251.00,33904,40.35,35.55,3.10,
13-November-2024,2474.95,2498.70,2452.00,2471.90,2471.527262683460000000,159302,18235,393719236.00,63014,39.56,46.70,-3.05,
12-November-2024,2544.95,2544.95,2470.10,2475.15,2499.035409961970000000,109376,11969,273334497.00,48817,44.63,74.85,-69.80,
11-November-2024,2578.00,2591.90,2507.00,2542.65,2542.411629736280000000,367403,32257,934089660.00,138608,37.73,84.90,-35.35,
8-November-2024,2830.05,2840.50,2762.00,2769.25,2782.718552419700000000,176985,22616,492499443.00,72532,40.98,78.50,-60.80,
7-November-2024,2934.95,2934.95,2824.00,2843.45,2857.896753816460000000,28495,4597,81435768.00,12546,44.03,110.95,-91.50,
6-November-2024,2896.95,2907.70,2860.10,2897.20,2881.296302793740000000,68403,9085,197089311.00,33020,48.27,47.60,0.25,
5-November-2024,2900.00,2915.90,2873.10,2888.40,2894.650248511170000000,22333,3010,64646224.00,9089,40.70,42.80,-11.60,
4-November-2024,2950.50,2959.30,2886.10,2914.95,2910.498793497590000000,78740,9223,229172675.00,33108,42.05,73.20,-35.55,
1-November-2024,2968.05,2968.05,2930.05,2940.00,2945.835978187610000000,16321,3503,48078989.00,10275,62.96,38.00,-28.05,
31-October-2024,3014.55,3014.55,2919.30,2938.10,2957.671350545370000000,123402,13256,364982560.00,82847,67.14,95.25,-76.45,
30-October-2024,2992.15,3004.85,2960.90,2997.00,2983.085566162360000000,40121,4486,119684376.00,21624,53.90,43.95,4.85,
29-October-2024,3020.00,3021.00,2940.80,2993.70,2980.521853885140000000,37888,3501,112926012.00,18356,48.45,80.20,-26.30,
28-October-2024,2990.00,3020.90,2964.00,3001.15,2998.661692979080000000,31164,4479,93450293.00,15045,48.28,56.90,11.15,
25-October-2024,2971.35,3013.20,2951.95,2959.35,2986.944834400280000000,48581,7191,145108767.00,12995,26.75,61.25,-12.00,
24-October-2024,2990.65,3003.80,2951.05,2971.30,2980.699791204490000000,45978,6169,137046615.00,26205,56.99,52.75,-19.35,
23-October-2024,2993.10,3025.00,2974.00,2990.65,3000.640000000000000000,15725,2081,47185064.00,5035,32.02,51.00,-2.45,
22-October-2024,3050.05,3058.50,2996.15,3003.30,3018.412397660820000000,17100,2302,51614852.00,5849,34.20,62.35,-46.75,
21-October-2024,3014.95,3055.95,2999.50,3048.75,3027.316532668430000000,39304,4217,118985649.00,23337,59.38,56.45,33.80,
18-October-2024,3055.00,3066.20,2980.05,2990.60,3007.743751458240000000,137152,11581,412518071.00,47853,34.89,86.15,-64.40,
17-October-2024,3085.00,3085.00,3037.15,3057.80,3053.561114921740000000,80185,6408,244849798.00,65478,81.66,47.85,-27.20,
16-October-2024,3085.05,3103.65,3067.00,3081.80,3074.973371548550000000,120022,4245,369064454.00,94987,79.14,36.65,-3.25,
15-October-2024,3079.05,3096.00,3047.15,3070.50,3076.263416349250000000,85325,8313,262482176.00,51440,60.29,48.85,-8.55,
14-October-2024,3049.95,3054.60,3016.65,3039.90,3039.506492657630000000,45898,5995,139507269.00,29542,64.36,37.95,-10.05,
11-October-2024,3060.00,3060.30,3027.00,3038.25,3039.438001586630000000,108406,10705,329493316.00,32786,30.24,33.30,-21.75,
10-October-2024,3114.95,3114.95,3043.90,3060.30,3062.984948548610000000,13022,1841,39886190.00,4285,32.91,71.05,-54.65,
9-October-2024,3090.00,3145.45,3072.00,3078.75,3106.753021241790000000,136947,12038,425460506.00,106361,77.67,73.45,-11.25,
8-October-2024,3009.00,3098.60,3009.00,3088.45,3079.826508715070000000,45668,6182,140649517.00,22900,50.14,89.60,79.45,
7-October-2024,3089.95,3098.30,3037.25,3063.90,3062.249341040460000000,21625,2826,66221142.00,7939,36.71,61.05,-26.05,
4-October-2024,3139.95,3155.95,3054.10,3071.85,3100.462892583370000000,123668,18468,383428045.00,36539,29.55,101.85,-68.10,
3-October-2024,3180.05,3226.10,3127.80,3150.20,3164.208057858170000000,59594,6958,188567815.00,19028,31.93,98.30,-29.85,
1-October-2024,3326.95,3326.95,3245.00,3277.20,3271.423353106460000000,22421,3499,73348583.00,6952,31.01,81.95,-49.75,
30-September-2024,3306.90,3358.15,3306.90,3328.40,3337.550394354500000000,24090,3187,80401589.00,6618,27.47,51.25,21.50,
27-September-2024,3278.30,3337.25,3278.30,3310.05,3313.431593095640000000,28272,3850,93677338.00,7697,27.22,58.95,31.75,
26-September-2024,3244.15,3285.00,3228.45,3277.05,3255.760344099640000000,18948,2474,61690147.00,6447,34.02,56.55,32.90,
25-September-2024,3249.20,3249.50,3205.80,3243.95,3222.846717403670000000,45726,5261,147367889.00,23567,51.54,43.70,-5.25,
24-September-2024,3275.00,3296.80,3242.15,3248.70,3274.876611128580000000,25448,1654,83339060.00,6231,24.49,54.65,-26.30,
23-September-2024,3312.05,3324.95,3272.10,3276.90,3295.365700704430000000,34922,4531,115080761.00,22196,63.56,52.85,-35.15,
20-September-2024,3318.95,3324.25,3267.35,3309.15,3304.285083682620000000,170585,15937,563661471.00,31229,18.31,56.90,-9.80,
19-September-2024,3280.60,3320.00,3275.45,3294.45,3301.777137113840000000,18904,2235,62416795.00,6117,32.36,44.55,13.85,
